_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
0.5476,0,8.6382,85.6762,2,3.6712,0.024,0,0,0.5702,0,0,starlab-01-md-0-6bs5q,12:22:18 12/19/22 UTC
0.5508,0,8.6214,86.6286,2,3.6751,0.0273,0,0,0.5698,0,0,starlab-01-md-0-77kds,12:22:23 12/19/22 UTC
1.095,0,8.6203,189.1429,3.25,3.6523,0.0529,0,0,1.1411,0,0,starlab-01-md-0-7x9cz,12:22:28 12/19/22 UTC
1.1078,0,8.6544,102.1714,2.25,3.6748,0.047,0,0,1.1387,0,0,starlab-01-md-0-9nc4l,12:22:33 12/19/22 UTC
1.0936,0,8.6216,190.2095,5,3.6715,0.0493,0,0,1.1403,0,0,starlab-01-md-0-f6vqn,12:22:38 12/19/22 UTC
1.0679,0,26.3096,345.2952,7.5,12.2004,2.3457,0,0,7.999,0,0,starlab-edge-3-control-plane-f69n4,12:22:44 12/19/22 UTC
1.0517,0,7.1672,220.1524,6.75,3.599,1.6646,0,0,1.5423,0,0,starlab-edge-3-md-0-5qhsv,12:22:49 12/19/22 UTC
1.0725,0,7.0896,188.7619,4.375,3.6072,1.4662,0,0,1.5248,0,0,starlab-edge-3-md-0-fmhtr,12:22:54 12/19/22 UTC
1.0578,0,7.1562,163.2381,8.375,3.5933,1.6585,0,0,1.5214,0,0,starlab-edge-3-md-0-xbdtb,12:22:59 12/19/22 UTC
1.0723,0,26.1841,318.781,4,10.9236,13.267,0,0,12.1245,0,0,starlab-edge-4-control-plane-5j5jk,12:23:04 12/19/22 UTC
0.5754,0,25.8664,318.0571,87.5,11.9362,21.0509,0,0,28.4312,0,0,starlab-edge-4-control-plane-l4k4d,12:23:09 12/19/22 UTC
0.5292,0,25.9247,211.8857,9,11.638,6.653,0,0,7.4275,0,0,starlab-edge-4-control-plane-xt8qc,12:23:14 12/19/22 UTC
0.5346,0,7.2508,82.1714,5,3.6302,0.621,0,0,0.7561,0,0,starlab-edge-4-md-0-6g4rd,12:23:20 12/19/22 UTC
0.5351,0,7.262,102.3619,10,3.6179,0.617,0,0,0.7567,0,0,starlab-edge-4-md-0-ggxp5,12:23:25 12/19/22 UTC
1.0657,4.3429,7.192,272.2667,7.125,3.1715,1.5434,0,0,1.5134,0,0,starlab-edge-4-md-0-gszgf,12:23:30 12/19/22 UTC
0.4388,0,13.2634,253.4095,87.5,21.3748,5.3255,0,0,5.5762,0,0,edge-test-control-plane-8fdld,12:23:35 12/19/22 UTC
0.9736,0,11.8933,79.2,19,10.7474,1.0348,0,0,1.3349,0,0,edge-test-md-0-9n7rn,12:23:40 12/19/22 UTC
0.9781,0,11.913,89.7143,14.5,10.6728,1.1866,0,0,1.3583,0,0,edge-test-md-0-qfssg,12:23:46 12/19/22 UTC
0.9844,0,11.913,79.3143,18.5,10.7547,1.0062,0,0,1.322,0,0,edge-test-md-0-vd5z8,12:23:51 12/19/22 UTC
0.6565,0,24.9751,274.9333,61.25,11.42,5.0536,0,0,9.0036,0,0,starlab-01-control-plane-mmfrj,12:23:56 12/19/22 UTC
1.1055,0,8.6505,172.1524,1.625,3.6648,0.0511,0,0,1.1415,0,0,starlab-01-md-0-6bs5q,12:24:01 12/19/22 UTC
1.1048,0,8.6227,178.6667,1.625,3.6955,0.0488,0,0,1.1363,0,0,starlab-01-md-0-77kds,12:24:06 12/19/22 UTC
1.0992,0,8.6209,189.0286,3.75,3.6778,0.0505,0,0,1.1395,0,0,starlab-01-md-0-7x9cz,12:24:12 12/19/22 UTC
0.5518,0,8.6551,61.3333,2.875,3.6727,0.025,0,0,0.5693,0,0,starlab-01-md-0-9nc4l,12:24:17 12/19/22 UTC
0.5533,0,8.6222,85.0667,5.375,3.6627,0.0226,0,0,0.5695,0,0,starlab-01-md-0-f6vqn,12:24:22 12/19/22 UTC
1.0666,0,26.3153,342.9714,5.75,12.2088,2.7501,0,0,8.5446,0,0,starlab-edge-3-control-plane-f69n4,12:24:27 12/19/22 UTC
1.0688,0,7.1678,171.9619,5.75,3.6074,1.3441,0,0,1.4911,0,0,starlab-edge-3-md-0-5qhsv,12:24:32 12/19/22 UTC
1.0541,0,7.1013,114.0952,5.125,3.5967,1.5383,0,0,1.5057,0,0,starlab-edge-3-md-0-fmhtr,12:24:38 12/19/22 UTC
1.0702,0,7.1568,193.981,8.625,3.6012,1.3893,0,0,1.5151,0,0,starlab-edge-3-md-0-xbdtb,12:24:43 12/19/22 UTC
1.0739,0,26.1886,296.1143,3.75,10.9006,13.8916,0,0,12.9133,0,0,starlab-edge-4-control-plane-5j5jk,12:24:48 12/19/22 UTC
0.567,0,25.873,431.2,89,11.9477,21.6167,0,0,30.4735,0,0,starlab-edge-4-control-plane-l4k4d,12:24:53 12/19/22 UTC
1.06,0,25.9674,276.6095,6.25,11.6574,14.5171,0,0,16.4303,0,0,starlab-edge-4-control-plane-xt8qc,12:24:58 12/19/22 UTC
1.0594,0,7.2514,220.2667,8.625,3.6181,1.3215,0,0,1.4916,0,0,starlab-edge-4-md-0-6g4rd,12:25:03 12/19/22 UTC
1.0602,0,7.2626,214.8952,8.875,3.6248,1.562,0,0,1.5315,0,0,starlab-edge-4-md-0-ggxp5,12:25:09 12/19/22 UTC
0.5339,0,7.2036,134.6667,8.625,3.1716,0.7443,0,0,0.7651,0,0,starlab-edge-4-md-0-gszgf,12:25:14 12/19/22 UTC
0.21,0,13.2642,114.2095,89,21.3343,2.6301,0,0,2.9707,0,0,edge-test-control-plane-8fdld,12:25:19 12/19/22 UTC
0.4912,0,11.8935,45.3333,29.5,10.7574,0.6999,0,0,0.685,0,0,edge-test-md-0-9n7rn,12:25:24 12/19/22 UTC
0.9749,0,11.9134,85.2952,19.5,10.6824,1.0819,0,0,1.3366,0,0,edge-test-md-0-qfssg,12:25:29 12/19/22 UTC
0.9751,0,11.9134,85.8286,15,10.7318,1.0926,0,0,1.3499,0,0,edge-test-md-0-vd5z8,12:25:34 12/19/22 UTC
0.6594,0,24.9783,241.6381,52.75,11.4184,4.7103,0,0,8.3072,0,0,starlab-01-control-plane-mmfrj,12:25:40 12/19/22 UTC
1.1051,0,8.6518,111.3524,2.875,3.6577,0.0546,0,0,1.1411,0,0,starlab-01-md-0-6bs5q,12:25:45 12/19/22 UTC
1.0951,0,8.635,168.1143,2.75,3.6864,0.0488,0,0,1.1393,0,0,starlab-01-md-0-77kds,12:25:50 12/19/22 UTC
1.1041,0,8.6221,157.8667,4.75,3.6509,0.0488,0,0,1.1386,0,0,starlab-01-md-0-7x9cz,12:25:55 12/19/22 UTC
1.0955,0,8.6564,160.7619,2.5,3.6865,0.0496,0,0,1.1399,0,0,starlab-01-md-0-9nc4l,12:26:00 12/19/22 UTC
