_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
1.0445,0,18.2648,436.4571,14.25,13.6726,16.6641,0,0,27.1645,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:44 12/22/22 UTC
1.0445,0,18.2648,436.4571,14.25,13.6726,16.6641,0,0,27.1645,0,0,egde-sample-small-01-control-plane-f7dd6,18:01:53 12/22/22 UTC
1.0445,0,18.2648,436.4571,14.25,13.6726,16.6641,0,0,27.1645,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:01 12/22/22 UTC
1.0445,0,18.2648,436.4571,14.25,13.6726,16.6641,0,0,27.1645,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:09 12/22/22 UTC
0.5228,0,18.2648,215.0857,14.25,13.6726,8.3802,0,0,13.2554,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:17 12/22/22 UTC
0.5228,0,18.2648,215.0857,14.25,13.6726,8.3802,0,0,13.2554,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:26 12/22/22 UTC
1.0467,0,18.2681,355.0476,13.5,13.8809,16.0987,0,0,24.6397,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:34 12/22/22 UTC
1.0467,0,18.2681,355.0476,13.5,13.8809,16.0987,0,0,24.6397,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:42 12/22/22 UTC
1.0467,0,18.2681,355.0476,13.5,13.8809,16.0987,0,0,24.6397,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:51 12/22/22 UTC
1.0467,0,18.2681,355.0476,13.5,13.8809,16.0987,0,0,24.6397,0,0,egde-sample-small-01-control-plane-f7dd6,18:02:59 12/22/22 UTC
1.0467,0,18.2681,355.0476,13.5,13.8809,16.0987,0,0,24.6397,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:07 12/22/22 UTC
0.524,0,18.2681,139.9619,13.5,13.8809,7.7184,0,0,11.3843,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:15 12/22/22 UTC
0.524,0,18.2681,139.9619,13.5,13.8809,7.7184,0,0,11.3843,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:23 12/22/22 UTC
1.0484,0,18.2714,368.8762,13.5,14.7096,15.0542,0,0,22.649,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:32 12/22/22 UTC
1.0484,0,18.2714,368.8762,13.5,14.7096,15.0542,0,0,22.649,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:40 12/22/22 UTC
1.0484,0,18.2714,368.8762,13.5,14.7096,15.0542,0,0,22.649,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:48 12/22/22 UTC
1.0484,0,18.2714,368.8762,13.5,14.7096,15.0542,0,0,22.649,0,0,egde-sample-small-01-control-plane-f7dd6,18:03:56 12/22/22 UTC
1.0484,0,18.2714,368.8762,13.5,14.7096,15.0542,0,0,22.649,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:04 12/22/22 UTC
0.6119,0,18.2714,228.9143,13.5,14.7096,7.3357,0,0,11.2647,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:12 12/22/22 UTC
0.5245,0,18.2714,228.9143,13.5,14.7096,7.3357,0,0,11.2647,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:20 12/22/22 UTC
1.0476,0,18.3122,355.5048,12.5,14.4537,14.6416,0,0,22.106,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:28 12/22/22 UTC
1.0476,0,18.3122,355.5048,12.5,14.4537,14.6416,0,0,22.106,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:36 12/22/22 UTC
1.0476,0,18.3122,355.5048,12.5,14.4537,14.6416,0,0,22.106,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:44 12/22/22 UTC
1.0476,0,18.3122,355.5048,12.5,14.4537,14.6416,0,0,22.106,0,0,egde-sample-small-01-control-plane-f7dd6,18:04:52 12/22/22 UTC
1.0476,0,18.3122,355.5048,12.5,14.4537,14.6416,0,0,22.106,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:00 12/22/22 UTC
1.0476,0,18.3122,355.5048,12.5,14.4537,14.6416,0,0,22.106,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:08 12/22/22 UTC
0.5231,0,18.3122,126.5905,12.5,14.4537,7.3059,0,0,10.8413,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:17 12/22/22 UTC
0.5231,0,18.3122,126.5905,12.5,14.4537,7.3059,0,0,10.8413,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:26 12/22/22 UTC
1.0475,0,18.3155,370.2095,12.75,13.4017,14.9389,0,0,23.3227,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:34 12/22/22 UTC
1.0475,0,18.3155,370.2095,12.75,13.4017,14.9389,0,0,23.3227,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:42 12/22/22 UTC
1.0475,0,18.3155,370.2095,12.75,13.4017,14.9389,0,0,23.3227,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:50 12/22/22 UTC
1.0475,0,18.3155,370.2095,12.75,13.4017,14.9389,0,0,23.3227,0,0,egde-sample-small-01-control-plane-f7dd6,18:05:58 12/22/22 UTC
1.0475,0,18.3155,370.2095,12.75,13.4017,14.9389,0,0,23.3227,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:07 12/22/22 UTC
0.5244,0,18.3155,243.619,12.75,13.4017,7.633,0,0,12.4814,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:15 12/22/22 UTC
0.5244,0,18.3155,243.619,12.75,13.4017,7.633,0,0,12.4814,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:23 12/22/22 UTC
1.0461,0,18.3187,470.7048,12.75,13.4065,16.0951,0,0,25.7534,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:31 12/22/22 UTC
1.0461,0,18.3187,470.7048,12.75,13.4065,16.0951,0,0,25.7534,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:39 12/22/22 UTC
1.0461,0,18.3187,470.7048,12.75,13.4065,16.0951,0,0,25.7534,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:47 12/22/22 UTC
1.0461,0,18.3187,470.7048,12.75,13.4065,16.0951,0,0,25.7534,0,0,egde-sample-small-01-control-plane-f7dd6,18:06:55 12/22/22 UTC
1.0461,0,18.3187,470.7048,12.75,13.4065,16.0951,0,0,25.7534,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:04 12/22/22 UTC
1.0461,0,18.3187,470.7048,12.75,13.4065,16.0951,0,0,25.7534,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:12 12/22/22 UTC
0.5218,0,18.3187,227.0857,12.75,13.4065,8.4621,0,0,13.2721,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:20 12/22/22 UTC
1.0463,0,18.322,370.019,12,13.664,16.0509,0,0,24.5731,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:28 12/22/22 UTC
1.0463,0,18.322,370.019,12,13.664,16.0509,0,0,24.5731,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:36 12/22/22 UTC
1.0463,0,18.322,370.019,12,13.664,16.0509,0,0,24.5731,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:44 12/22/22 UTC
1.0463,0,18.322,370.019,12,13.664,16.0509,0,0,24.5731,0,0,egde-sample-small-01-control-plane-f7dd6,18:07:52 12/22/22 UTC
1.0463,0,18.322,370.019,12,13.664,16.0509,0,0,24.5731,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:00 12/22/22 UTC
1.0463,0,18.322,370.019,12,13.664,16.0509,0,0,24.5731,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:08 12/22/22 UTC
0.5245,0,18.322,142.9333,12,13.664,7.5888,0,0,11.3011,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:16 12/22/22 UTC
0.5245,0,18.322,142.9333,12,13.664,7.5888,0,0,11.3011,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:24 12/22/22 UTC
1.0481,0,18.3252,362.8571,11,14.4954,14.889,0,0,22.6023,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:32 12/22/22 UTC
1.0481,0,18.3252,362.8571,11,14.4954,14.889,0,0,22.6023,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:40 12/22/22 UTC
1.0481,0,18.3252,362.8571,11,14.4954,14.889,0,0,22.6023,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:48 12/22/22 UTC
1.0481,0,18.3252,362.8571,11,14.4954,14.889,0,0,22.6023,0,0,egde-sample-small-01-control-plane-f7dd6,18:08:56 12/22/22 UTC
1.0481,0,18.3252,362.8571,11,14.4954,14.889,0,0,22.6023,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:04 12/22/22 UTC
0.5236,0,18.3252,219.9238,11,14.4954,7.3002,0,0,11.3012,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:12 12/22/22 UTC
0.5236,0,18.3252,219.9238,11,14.4954,7.3002,0,0,11.3012,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:20 12/22/22 UTC
1.0466,0,18.3285,453.7143,10.25,14.4945,15.5469,0,0,24.6932,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:28 12/22/22 UTC
1.0466,0,18.3285,453.7143,10.25,14.4945,15.5469,0,0,24.6932,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:36 12/22/22 UTC
1.0466,0,18.3285,453.7143,10.25,14.4945,15.5469,0,0,24.6932,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:44 12/22/22 UTC
1.0466,0,18.3285,453.7143,10.25,14.4945,15.5469,0,0,24.6932,0,0,egde-sample-small-01-control-plane-f7dd6,18:09:52 12/22/22 UTC
